model,asset_count,avg_qlike,avg_mae,avg_rmse,avg_rank,top_two_share,improvement_vs_rolling_21,improvement_vs_ewma,improvement_vs_garch
har_rolling_update,10,0.005582203493662871,0.0070841104969405905,0.012800045027822383,1.8,0.8,0.40411554860568105,0.831530336795882,0.9150237827117342
garch_rolling_update,10,0.005611253612294759,0.0066093469823828715,0.012791646540130663,2.4,0.5,0.40098846692152534,0.8307220293812259,0.9145253283326144
gjr_rolling_update,10,0.005633191187489432,0.006462979428481151,0.012735385673763696,2.5,0.6,0.3978708443607782,0.8298344993117969,0.9137865833765403
ewma_rolling_update,10,0.005678550894370803,0.006600348837207849,0.012772860780995566,3.3,0.1,0.3937768044241845,0.8286333362674702,0.9134520894033328
validation_weighted_ensemble,10,0.007927326737620515,0.01039644984216547,0.01678019059942088,5.6,0.0,0.16534282055594748,0.7637937928894927,0.881486843729097
har_rv_market_huber,10,0.009139902180965933,0.009150276988451887,0.01781813653058391,7.3,0.0,0.01281171049314464,0.7204236727242359,0.8586012857594827
previous_day_rv,10,0.009262857610760086,0.00867917402241945,0.017926236789414855,7.9,0.0,0.0,0.7172236028146713,0.8566693172909791
rolling_21,10,0.009262857610760086,0.00867917402241945,0.017926236789414855,7.9,0.0,0.0,0.7172236028146713,0.8566693172909791
har_rv_log_ridge,10,0.00941660916502536,0.01012561810709161,0.018394096960192556,7.9,0.0,-0.01263502343194584,0.7132846394815576,0.8561846691921936
simple_average_ensemble,10,0.009564561414301873,0.012056031331229991,0.018974001616598186,9.3,0.0,-0.02823232866085339,0.7092331911158833,0.8546585883008092
har_rv_market_log_ridge,10,0.009657114763585679,0.01074046824968736,0.018593396313128795,9.1,0.0,-0.036755567715911555,0.7065161005110951,0.8530281551563131
random_forest,10,0.023479438625596843,0.015200987499725835,0.0312559201800026,12.8,0.0,-1.759245315502389,0.21393393219562049,0.6104918479096727
hist_gradient_boosting,10,0.026876044381239368,0.017812130784398583,0.0339053530548168,13.6,0.0,-2.1082829128972604,0.11374642183707433,0.5707254882428978
ewma_tuned,10,0.02926813065166838,0.022730708785951848,0.03261318942770498,13.8,0.0,-2.1536244061303242,0.10727555031930833,0.5501293790269622
ewma_094,10,0.03309962907670387,0.023847103557717124,0.0343515340173707,14.4,0.0,-2.5677980643894927,0.0,0.4880994172348707
garch_11,10,0.07410974718226529,0.038292425277338615,0.05351059184746686,16.5,0.0,-6.686586242410314,-1.1789156406714385,0.0
egarch_t,10,0.07605823803639246,0.03807990557734307,0.0528699587052779,16.9,0.0,-7.2391275198642,-1.3266878844694892,-0.126702577575387
rolling_63,10,0.09993450984096638,0.046951408999761704,0.06571578376349006,17.8,0.0,-9.998376007495445,-2.0768123037794126,-0.6197698662124403
gjr_garch,10,0.1580035570621585,0.04945755838442487,0.06885975231150351,18.2,0.0,-16.1720794339863,-3.6690555306579014,-1.5114965486279184
